"model","results_id","match_rate","n_bags","n_landmarks","party","y_hat_dem","y_hat_rep","y_hat_oth","class_rate","y_dem","y_rep","y_oth","y_hat_dem_2way","error_dem","error_rep","error_oth","error_dem_2way"
"dr","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.501741476453045,0.438265232170341,0.0599932913766137,0.557,0.471,0.419,0.11,0.533763718758807,0.0307414764530453,0.0192652321703409,-0.0500067086233863,0.00455023561273982
"dr_sepbags","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.53225997263944,0.414717328391528,0.053022698969031,0.561,0.471,0.419,0.11,0.562062017811801,0.0612599726394401,-0.00428267160847157,-0.056977301030969,0.0328485346657339
"logit_bagfeat","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.535895367654747,0.411541549469741,0.0525630828755114,0.574,0.471,0.419,0.11,0.565626436935994,0.0648953676547471,-0.00745845053025934,-0.0574369171244886,0.0364129537899265
"logit_regfeat","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.531415888041412,0.416038428866144,0.0525456830924438,0.573,0.471,0.419,0.11,0.56088813841276,0.0604158880414121,-0.00296157113385592,-0.0574543169075562,0.0316746552666923
"grpmean","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.506118689477732,0.431483302568676,0.0623980079535926,0.459,0.471,0.419,0.11,0.539801209650887,0.0351186894777322,0.0124833025686757,-0.0476019920464074,0.0105877265048198
"logit_alldata","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.492586614125207,0.412649744495924,0.0947636413788686,0.652,0.498,0.412,0.09,0.544152485076408,-0.00541338587479312,0.000649744495924365,0.00476364137886863,-0.00310026217633941
"logit","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.530775389231934,0.402363285644991,0.0668613251230754,0.616,0.498,0.412,0.09,0.568806548825061,0.0327753892319345,-0.00963671435500879,-0.0231386748769246,0.0215538015723141
"dr","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.501628526738461,0.437579241619044,0.0607922316424959,0.532,0.498,0.412,0.09,0.534097506045669,0.00362852673846104,0.0255792416190438,-0.0292077683575041,-0.0131552412070786
"dr_sepbags","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.519896185554765,0.419168158825902,0.0609356556193334,0.63,0.498,0.412,0.09,0.55363212187302,0.0218961855547654,0.00716815882590166,-0.0290643443806666,0.00637937462027327
"logit_bagfeat","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.516770376054952,0.417555314884762,0.0656743090602867,0.626,0.498,0.412,0.09,0.553094473443411,0.0187703760549516,0.00555531488476202,-0.0243256909397132,0.00584172619066348
"logit_regfeat","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.534406605657516,0.397354313037024,0.0682390813054604,0.619,0.498,0.412,0.09,0.573544774131819,0.0364066056575156,-0.0146456869629762,-0.0217609186945396,0.0262920268790715
"grpmean","partyinsurvey_match24_bags81_lmks276.348630745895",0.237957048013272,81,276.348630745895,"insurvey",0.511865890239257,0.426318193368508,0.061815916392237,0.497,0.498,0.412,0.09,0.545592170217693,0.0138658902392569,0.0143181933685076,-0.028184083607763,-0.00166057703505429
"logit_alldata","partyinsurvey_match25_bags141_lmks36.7538841506466",0.246801044051334,141,36.7538841506466,"insurvey",0.490089248136626,0.41579168427441,0.0941190675889642,0.641,0.484,0.426,0.09,0.541008459944328,0.00608924813662648,-0.0102083157255898,0.00411906758896416,0.00914032807619625
"logit","partyinsurvey_match25_bags141_lmks36.7538841506466",0.246801044051334,141,36.7538841506466,"insurvey",0.536625363711351,0.402376623750045,0.0609980125386048,0.585,0.484,0.426,0.09,0.571484800753325,0.0526253637113515,-0.0236233762499548,-0.0290019874613952,0.039616668885193
"dr","partyinsurvey_match25_bags141_lmks36.7538841506466",0.246801044051334,141,36.7538841506466,"insurvey",0.51161414453186,0.420171696632515,0.0682141588356256,0.569,0.484,0.426,0.09,0.549068382379088,0.0276141445318604,-0.00582830336748541,-0.0217858411643744,0.0172002505109556
"dr_sepbags","partyinsurvey_match25_bags141_lmks36.7538841506466",0.246801044051334,141,36.7538841506466,"insurvey",0.539668822310148,0.397082740584151,0.0632484371057019,0.555,0.484,0.426,0.09,0.576106668712378,0.0556688223101477,-0.0289172594158487,-0.0267515628942981,0.0442385368442462
